object_id,ifc_guid,ifc_class,name,specification,primary_wbs
P2_B02-071,1eJbEth81VTxpYhBg9QTfu,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-072,3vOmWk7GXOXe9l$qV1pMp2,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-073,0IpkH07iPG7vLwp62HHiZb,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-074,3c8bTdCWLQ7P5DMxBQqNI_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-075,1ZAtG34LPTmQwln5RiEyW$,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-076,2YMQMqwhHGywaHPYWOWqWt,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-077,0EBiUedKHTEOL3eErFrO4A,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-078,3FMjPXsnfGpP0DurOJSLG7,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-079,1xEbI2cTrLRheQA84xs8lP,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-080,1Z04rRnxvP4O2u8O_axddQ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-081,2XZ_FYS5nSs87P6_RnvUW1,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-082,1Hic1QqMrNgB7Gbzcdnm$C,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-083,3oZzkHiofJ8ulGxpAgcP9S,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-084,1loQVuRNjJyBYb6$AKhAIB,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-085,03rDAEfdXITBL6BEpwl1FD,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-086,31gWpKOaHTl8v1RSm5nFpZ,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-087,1$vnc_buHSh8Q12vn_1WvU,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-088,1SbhZrugbVNfSGbjlz_Nbr,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-089,2XDc0yDWPMTvIEXaQgoC3c,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-090,3M6sWh9PLLZu162WuStDtW,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-091,0FaLduJaPMUgYeuzIOxgGb,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-092,0jJtCTqUPL3ft9tDBgPtwp,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-093,0vzpV254rQa8iHvljY3QM3,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-094,0NWhm4jlzHSAkFoIBLPPc_,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-095,2wQnHNmDDJNBaiMWQamcJH,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-096,3WlWxZ5nrRvOJMOVoAZhhF,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-097,39DT_JyjXQqfJAIXNvmD8s,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-098,1$jUzLQTvNM96K92TadM6N,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-099,2pl_OPPufTjBqa6DXz88LY,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_B02-100,17XM_gLujL8OomUALJg9lL,IfcGeographicElement,회양목,H0.4 X W0.5,PK.50.40.D
P2_Y02-001,0JVtOADojS7hS1W3QoHQrZ,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-002,1LsoqFg0nK2uRcNlusjIon,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-003,2Sexj69MzKvBuvjK6F_Hgl,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-004,2R0yu1MGbNtR_2d3QfJwMi,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-005,3zqIKwKubSrAmC3blv_Mbv,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-006,39pPyKY21OkODw1Q4FuXSt,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-007,0ObqtzWTfOifnZ3j_cQp4J,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-008,3Ru$i9$HbJLgSOsCGag0V9,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-009,01LVPZcrDSBR9URD8oVazO,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-010,0NTWbxatLP$e8VALcJ$XpY,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-011,3oWsssxDXMGxJC1j_U$Dyv,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-012,3$GPjaFUXL2gRwwiHXm2df,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-013,3EF_TcXnHM8Ojrqqx03_rF,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-014,1yYRr2xpnOwuq$NdZFsYPG,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-015,2JN3EuDlLSeBIf5HIpLJtj,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-016,1OYSoeUQ5RzOGtrHgtmYnS,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-017,2c1CHqqMLRfe8Y28ZFn4gn,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-018,15IwRwXqTJBuW5B6QRcDj8,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-019,1Ns8vKXNfP78XSGTX7iaDs,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-020,2_3vAWn9bNowZpZiHOLxeV,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-021,25xw$VhJTLhRfJD5ABoEez,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-022,3Oc_Hmf8XVOuRXsZMCk2kH,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-023,1Im09dCY5JnezJZEi_FXYx,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-024,1jlEfXfujRzPg7k_llNDFU,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-025,3mKsy9WGLHhQAl4K$mucsx,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-026,31cj4S_$LRuwePS_L6i34u,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-027,2JFViFIPPOLwDYoNl3Ue5O,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-028,0moiyqRenMixd9T7rLzuVr,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-029,2hM8uYj31M5BI3pAHJ8skq,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-030,0FRI3iQWnME9NDbKB__$D0,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-031,2GHMfSDXvSEgtkmQd329S8,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y02-032,1AoZsLYl5Q0hmHB2fSQf_W,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_R01-001,34ulYXPovGuvno_D$XFegX,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-002,1cvTK9urHKnu$zZjQ2sFfw,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-003,1rjzjktWPO_ht0nz5QtjeE,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-004,2r51_iq4bKnPlE9sqpUqoR,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-005,1Zgn2DhfPUzwweUppN2387,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-006,0gexFRWHXTduhdHPh40J4T,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-007,3hyV3b0APPJO_CYT5$v69y,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-008,32ls88HS5IPf8nSm8eIwEB,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-009,323oyGiZnMG8r11uZdngRm,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-010,3Af2f8awbSOAE$DF7T0tF6,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-011,0ga7TB7urPGQdYwUtFDAjx,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-012,3gCHXs9dzR78PoqSIvTpBk,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-013,2_CgA_MhzLOAsi7zlbvaaJ,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-014,1gnYxaYJHKQRIOvR1xOWZl,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-015,1OI$3vILTRRxtrcl5u7oyQ,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-016,08e7y0F7fMVhOgtu6CF4HK,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-017,2_m2dh5avJa9_2JJTH0pTX,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-018,0ldfJQOjLIngfGZzpTyFTy,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-019,1hl3UMoEPQN89AxITB7mGu,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-020,3i3wLaXUDMredYAlOY9F0k,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-021,3gphtraivHahGtnlxwjjNE,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-022,2KXEplgyTPzvzIFHcY7gFr,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-023,27C7q4w_LOC89tM6Xiuscj,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-024,2THjCFSbrUIv6enfxnLxJm,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-025,05x49oePTNeOEPoL$RGSUX,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-026,0rM4OtEIDKcOWMvSOYNi1d,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-027,0QAd_0xmPLlv4oUnbEoW8z,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-028,2bzteFUL5Jh8p3umlmiSJI,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-029,2HIyy4yFfPUOO3cvTFL8OS,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-030,2k_nNN54fRDRooR81SHtTM,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-031,24vyN2olzRyOo5SIhvn9db,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-032,2jHcT9gU1KqBdMgzBJijpl,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-033,0WE7CH_svHEwu__Y_yFh7c,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-034,0sqCSW6VbKWwOzemvAHx4f,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-035,2UtYM$4UjPBgdtcl805iSg,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-036,3UhjmgyvzLGe4E1xpaT281,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-037,332da6BW9T7hgBDCyG$qIB,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-038,3X_rUDE$XGaBKeWbaVk_Mn,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-039,3OOfrZ5IvK5v8UUZL9DMSy,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-040,22VR0GGFnLHwHwsrZkp8hU,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-041,0hsfchUavJkv9jOPB5RNEC,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-042,04qRRWAcTO_gwFwfM5jaMj,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-043,1b5YLbJRfHkxMeideaf$tb,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-044,1cXU67b01RBwWlQ0sIjF8q,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-045,2lhYeSKxnKyeF01tkamezD,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-046,1iB4cfnWvQUgU40c96NSeb,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_R01-047,1i1CVDVVTOPg96a5YMDbRW,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.C
P2_Y03-001,3_rpQllVbOKfblemkjIv1I,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-002,2TEQw3VtHRJOvGuL3w7icu,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-003,1jNJ1$M$9HSeb8WpIsSwlG,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-004,0XX$FtAyjGVgnbgQJEWSin,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-005,2R1garEgzJqQdDOxL4EGZd,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-006,2xeA4GoC1MrxClbzjvQpFg,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-007,1SRa8RzgfRkxR207mDqr$c,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-008,3Oam7eeNHQR8tsNmWH62G3,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-009,1lFlgqWz5RIwOAfsPpjM0S,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-010,1WZE4OrrPPwBEzCUJ5zZ_w,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-011,1wmWB5nmDSegOMAHezrpBG,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-012,2cPvD2fnvR0h2_hIa1ZYZ$,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-013,1MXInfX6HOw9g5nFD7NE9T,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-014,0FJDb0HT1NLOeuAkLS$260,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-015,0TZ2bvMiXRYRpKUnAIi8dU,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-016,14dhcChK5N4O5dYSVcfWZV,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-017,1U2sW7_UzLGOQZcg_mbc6L,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-018,0wxp2FKufGF9CgIHqG7vIV,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-019,2Qhob$ZwrGhhJeaab6lk4r,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-020,2CRwX2vYrHxuBb_d74xVNu,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-021,0X6IVkqYvHOArC0TbYZ6Ky,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-022,2Een$xhZLQtBprPRjXwSrK,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-023,3r7QguALTTHOEkw4oViYzi,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-024,13G5qfv5LLFfJlpK6KhaB5,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_Y03-025,3FFY3dSpDQdwABK7vkCFjD,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.C
P2_R02-001,0NOcLDmK1RyxPPku_YxLvo,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-002,2pUS92w95TcRN8FxZC6Yof,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-003,2S35Jn_yHKlfgu77aNwLSO,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-004,389TMcoWHIEBW0hGct0HR1,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-005,1lJgl9NtDH$9x6IJ6ddIjm,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-006,3Cc4KmW_XVrPrfzYR1K5G4,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-007,0rzb2RswjPQeFd7CYSFE8f,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-008,3l3AV1eEzHeuBHUFaFYcdc,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-009,1VOQ1x1_9JoPUFPRbU8s53,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-010,3Uj3o9yqzNPeYVitmK5Vfd,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-011,2e0VzmrqHUvvc7SFUf0epD,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-012,3_9O9H6q9PPgqYf5wFk2v_,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-013,3mKluvyzHGxOUE$H1Cpzgk,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-014,1vzNIh6RvSUgetsWoedXlG,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-015,1JXzoiQubQox9fxIN3wiXz,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-016,2$_yfp4JzNGPUVHrfXtTmE,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-017,20A6phFRHS1xAG_Blm5BKx,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-018,1ewi3oDerSCQlcciN_MjN8,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-019,3pH_owQJzU9OnhVDeJowdf,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-020,3jr$ki6TTNPfLiWWseG7UI,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-021,1I7iduzYTSOPl8fx_RCCb8,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-022,1T87eT6F1I_x6ntrAvvkJW,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-023,1GEAIBrLTLSBDG949FaBgK,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-024,3L66KKSsjGTOIx$9D080Qj,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-025,1rSoEKOrrLjuNJASoUyFow,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-026,0BzQ9BbffTyBTLA9XolhG9,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-027,2a4oM_B1jVRvQEICrE13ac,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-028,2MZHCh7srU$90y796R7mKN,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-029,03LXHLDYrLZgRBgt0B5ug8,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-030,1zL4l49J9PqRnIo1mhZOOI,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-031,0OqzYadAPSUAYA3yEYUJ1M,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-032,3wMGywESHNDOQ1KiHQj481,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-033,3Of1Dvci5RLQ9IA5Gub4d3,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-034,1_3C2MWYLMn9MPKc_h9ZV9,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-035,1FXdfD74LKYB5fvlt5e0TW,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-036,1TK0P9WcnSbwTGrPPbGgaT,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_R02-037,3HrU74XFTHphBe9TQaaRrP,IfcGeographicElement,산철쭉,H0.8 X W0.8,PK.50.40.A
P2_Y04-001,3m64OmMfjGNPiNnBM6wcB9,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-002,2N2DTb7$9MtQDkuUWmZZVJ,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-003,2223tC855On8C4DJOXMAb4,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-004,1Y$UmqWWbHePd3AaNu64oU,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-005,1bCFD0MNDGmeTZbv72uOft,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-006,3lbQlQ9L5PzxF9CfV5fscz,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-007,3494JPDYbO9ffLV8cpEcCq,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-008,1qka4H2MHQmgZcr$Wv7MqY,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-009,2NCSPis6zQYPR7qpl_zWSD,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-010,0le66vJSXQSwp_suDFHCJN,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-011,1f_o1rDufVhxlde8Y$Es93,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-012,3C7_j1JBLNIftrCPFEfgqj,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-013,0O9WTXxLbNkRHG3MVkOsH8,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-014,0invy$IxDIxOnUb6CaC_HX,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-015,1MXI1PwuLIifHD3$ftKd7Q,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-016,0dK$Y7nzXIq9bjnqXx4o$6,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-017,1s3bfjxHfOWwZyu8YdOjfg,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-018,3GXVorGNLHmfI6vvmqAnw2,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-019,0iEsXvz0LLf9xvmTZ90clT,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-020,3gf8DQCLDKzuWiKIaIv5Ff,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-021,1qrELowbjKMuaYxPZuRof1,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-022,0wszkpkMjJ2QnmvAFMuvs5,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-023,1$lgYtyVDGlPcqJTd0WJf_,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-024,3EjK6IReLIqee0389T0RiS,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-025,0ld97vuUjNqfxU89NDzJYC,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y04-026,1B_7v0fQDL_eLewYpD3tcj,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.A
P2_Y05-001,0ZPSUhGmPMIudE7R8_GL_L,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y05-002,22pnxWVNbMRuTUu0s8Ju5R,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y05-003,0fONKxQ49V$Aex60nCOkZ2,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.D
P2_Y05-004,1pGR17_lLQfB5Dhng8iwoT,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-005,1D5lnKnWXTDBVP2qySqGv0,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-006,1O0jda4YbRFgQGMfI$OWEL,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-007,3UM1qnkubLlhT31RGncCLg,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-008,3PU_XRvK9Qjw_DaqpcA$jW,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-009,0nI6IK7wzJmfh_ezfkphcl,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-010,3nSKUZE6jL28f9dSelLaE_,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-011,3WJL5_TWXSiA4Ld7l3o6kb,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-012,0Dt9b8EV1K0xJ2Prg3Ngih,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-013,3e09vQxibUqvML_82cDGu_,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-014,2tBDQYDoDLWhZPYWzXywsr,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
P2_Y05-015,0pBJHhvLPJoxHa5XOCA2Ig,IfcGeographicElement,영산홍,H0.6 X W0.8,PK.50.40.B
